w,c,r_ind,R_ind,sigma_hat_risky,sigma_hat_ind,kappa,e,kappa_lev,MA_long,MA_short
[1.42636232],[-0.42636232],[0.00662462],[1.00662462],[0.00662462],[0.00662462],0.0,0.0,0.0,[1.00662462],[1.00662462]
1.5,-0.5,[-0.00522537],[1.00136464],[0.00533041],[0.00596425],0.0,0.0,0.0,[1.0039874],[1.00397293]
1.5,-0.5,[-0.00552315],[0.99583395],[0.00482571],[0.00582013],0.0,0.0,0.0,[1.00125462],[1.00121504]
1.5,-0.5,[-0.01308349],[0.98280497],[0.00602737],[0.00827548],0.0,0.0,0.0,[0.99660408],[0.99649797]
[1.18644933],[-0.18644933],[0.01948782],[1.0019577],[0.00796419],[0.01146424],0.0,0.0,0.0,[0.99768661],[0.99762625]
[1.22855218],[-0.22855218],[0.00729334],[1.00926532],[0.00769126],[0.01087242],0.0,0.0,0.0,[0.99964303],[0.999647]
[1.32882516],[-0.32882516],[-4.25360995e-05],[1.00922239],[0.00711088],[0.010052],0.0,0.0,0.0,[1.0010342],[1.00108356]
[1.39044516],[-0.39044516],[-0.00540266],[1.0037699],[0.00679575],[0.00958578],0.0,0.0,0.0,[1.00138278],[1.00143907]
[1.31001917],[-0.31001917],[0.01366906],[1.0174905],[0.00721296],[0.01013269],0.0,0.0,0.0,[1.00321216],[1.00334254]
[1.33949623],[-0.33949623],[-0.00722297],[1.01014119],[0.00705423],[0.00987398],0.0,0.0,0.0,[1.00392235],[1.004074]
[1.4711667],[-0.4711667],[0.00243697],[1.01260287],[0.00674075],[0.00943087],[0.04830688],[-0.00193228],[0.],[1.00473337],[1.0049149]
[0.73062926],[0.26937074],[-0.02418262],[0.98811548],[0.00803593],[0.01146841],[-0.47584656],[0.19367574],[0.],[1.00330626],[1.00338441]
[0.5666528],[0.4333472],[-0.00521047],[0.98296694],[0.00797256],[0.01110081],[-0.73792328],[0.16109708],[-0.0007164],[1.00168954],[1.00165366]
[0.47782944],[0.52217056],[0.00664115],[0.98949496],[0.0082934],[0.01083383],[-0.86896164],[0.13675329],[-0.0019593],[1.00078701],[1.00068897]
[0.45630269],[0.54369731],[-0.00256306],[0.98695883],[0.00813389],[0.01047365],[-0.93448082],[0.10294156],[-0.00330218],[0.99982921],[0.99966414]
[0.45165727],[0.54834273],[0.00220888],[0.9891389],[0.0079527],[0.0101426],[-0.96724041],[0.07082394],[-0.00423128],[0.99913314],[0.99892179]
[0.42738978],[0.57261022],[-0.00536193],[0.9838352],[0.00826773],[0.00991553],[-0.98362021],[0.0481816],[-0.00562558],[0.99819312],[0.99791239]
[0.42095179],[0.57904821],[0.00404686],[0.98781665],[0.0083257],[0.0096721],[-0.9918101],[0.02332474],[-0.00641431],[0.9975893],[0.99726941]
[0.63645543],[0.36354457],[0.00490525],[0.99266214],[0.00852347],[0.00947145],[-0.55493785],[0.00236131],[-0.0065727],[0.99731694],[0.99698924]
[0.83234076],[0.16765924],[-0.00878813],[0.98393849],[0.00888901],[0.0094367],[-0.24461857],[-0.00131401],[-0.00768949],[0.99661248],[0.99622938]
[1.48770768],[-0.48770768],[0.00415361],[0.98802539],[0.00873357],[0.00924343],[0.37769071],[-0.02200753],[-0.00822864],[0.99618069],[0.99577091]
[0.75924376],[0.24075624],[0.02191332],[1.00967631],[0.00911753],[0.01021958],[-0.31115464],[0.07838429],[-0.0062557],[0.9968302],[0.99651846]
[0.55042983],[0.44957017],[-0.00123929],[1.00842503],[0.008912],[0.00998447],[-0.65557732],[0.05511045],[-0.00461141],[0.99736542],[0.99713548]
[0.47198829],[0.52801171],[0.0021757],[1.01061906],[0.00874895],[0.00977128],[-0.82778866],[0.03352649],[-0.00286586],[0.99795329],[0.9978103]
[0.51769988],[0.48230012],[0.00267989],[1.01332741],[0.00863469],[0.00957643],[-0.74849222],[0.01338392],[-0.00096362],[0.99860971],[0.99856159]
[0.90945324],[0.09054676],[0.00182317],[1.01517488],[0.00848244],[0.00938455],[-0.20283482],[-0.00685645],[0.],[0.9992916],[0.99934098]
[1.30513531],[-0.30513531],[0.0084709],[1.02377433],[0.00851627],[0.00934994],[0.16236407],[-0.01055126],[0.],[1.0002647],[1.00045326]
